name,price,image,images,description,category,subcategory,sku,status,approval_status,featured,stock,rating,benefits,ingredients,shades,notes,paletteTheme
"Amazing Face Cream",49.99,"https://example.com/images/face_cream.jpg","{""https://example.com/images/face_cream_1.jpg"",""https://example.com/images/face_cream_2.jpg""}","This is an amazing face cream.","Skincare","Moisturizers","SKU001","active","approved",true,100,4.5,"{""hydration"": ""excellent"", ""texture"": ""smooth""}","{""aqua"": """", ""glycerin"": """"}","[{""name"": ""Natural"", ""code"": ""#F5E6D3""}]","{""top"": ""Rose"", ""middle"": ""Jasmine""}","Floral"
"Luxury Serum",75.00,"https://example.com/images/serum.jpg","{""https://example.com/images/serum_1.jpg""}","A luxurious serum for radiant skin.","Skincare","Serums","SKU002","active","approved",false,50,4.8,"{""anti-aging"": true, ""brightening"": true}","{""vitamin_c"": """", ""hyaluronic_acid"": """"}","[]","{""top"": ""Citrus"", ""base"": ""Musk""}","Fresh"
"Radiant Glow Serum",55.00,"https://example.com/images/skincare_serum_1.jpg","{""https://example.com/images/skincare_serum_1_thumb1.jpg"",""https://example.com/images/skincare_serum_1_thumb2.jpg""}","A powerful serum to boost skin radiance and reduce fine lines.","Skincare","Serums","SKIN001","active","approved",true,150,4.7,"{""radiance_boost"": true, ""anti_aging"": true}","{""vitamin_c"": ""10%"", ""hyaluronic_acid"": ""2%""}","[]","",""
"Hydrating Daily Moisturizer",35.00,"https://example.com/images/skincare_moisturizer_1.jpg","{""https://example.com/images/skincare_moisturizer_1_thumb1.jpg""}","Lightweight daily moisturizer for all skin types.","Skincare","Moisturizers","SKIN002","active","approved",false,200,4.5,"{""hydration"": ""24hr"", ""lightweight"": true}","{""aqua"": """", ""glycerin"": """", ""shea_butter"": """"}","[]","",""
"Gentle Cleansing Foam",25.00,"https://example.com/images/skincare_cleanser_1.jpg","{""https://example.com/images/skincare_cleanser_1_thumb1.jpg""}","Removes impurities without stripping natural oils.","Skincare","Cleansers","SKIN003","active","approved",false,180,4.6,"{""gentle_formula"": true, ""deep_cleanse"": true}","{""aloe_vera"": """", ""green_tea_extract"": """"}","[]","",""
"Revitalizing Eye Cream",45.00,"https://example.com/images/skincare_eyecream_1.jpg","{""https://example.com/images/skincare_eyecream_1_thumb1.jpg""}","Reduces dark circles and puffiness around the eyes.","Skincare","Eye Care","SKIN004","active","approved",true,120,4.8,"{""dark_circle_reduction"": true, ""anti_puffiness"": true}","{""peptides"": """", ""caffeine"": """"}","[]","",""
"Exfoliating Face Scrub",30.00,"https://example.com/images/skincare_scrub_1.jpg","{""https://example.com/images/skincare_scrub_1_thumb1.jpg""}","Gently exfoliates dead skin cells for a smoother complexion.","Skincare","Exfoliators","SKIN005","active","approved",false,160,4.4,"{""smooths_skin"": true, ""removes_dead_cells"": true}","{""apricot_seeds"": """", ""salicylic_acid"": """"}","[]","",""
"Soothing Toner Mist",28.00,"https://example.com/images/skincare_toner_1.jpg","{""https://example.com/images/skincare_toner_1_thumb1.jpg""}","Calms and hydrates skin, preparing it for serums.","Skincare","Toners","SKIN006","active","approved",false,170,4.5,"{""calming"": true, ""hydrating"": true}","{""rosewater"": """", ""chamomile"": """"}","[]","",""
"Vitamin C Brightening Mask",40.00,"https://example.com/images/skincare_mask_1.jpg","{""https://example.com/images/skincare_mask_1_thumb1.jpg""}","Weekly mask for a brighter, more even skin tone.","Skincare","Masks","SKIN007","active","approved",true,100,4.7,"{""brightening"": true, ""evens_skin_tone"": true}","{""kaolin_clay"": """", ""vitamin_c_extract"": """"}","[]","",""
"SPF 50 Sunscreen Lotion",32.00,"https://example.com/images/skincare_sunscreen_1.jpg","{""https://example.com/images/skincare_sunscreen_1_thumb1.jpg""}","Broad-spectrum protection against UVA/UVB rays.","Skincare","Sunscreens","SKIN008","active","approved",false,250,4.9,"{""broad_spectrum_spf50"": true, ""non_greasy"": true}","{""zinc_oxide"": """", ""titanium_dioxide"": """"}","[]","",""
"Night Repair Oil",60.00,"https://example.com/images/skincare_oil_1.jpg","{""https://example.com/images/skincare_oil_1_thumb1.jpg""}","Nourishing oil for overnight skin regeneration.","Skincare","Face Oils","SKIN009","active","approved",true,90,4.8,"{""regenerating"": true, ""nourishing"": true}","{""rosehip_oil"": """", ""jojoba_oil"": """"}","[]","",""
"Acne Spot Treatment",22.00,"https://example.com/images/skincare_acne_1.jpg","{""https://example.com/images/skincare_acne_1_thumb1.jpg""}","Targets and reduces blemishes quickly.","Skincare","Treatments","SKIN010","active","approved",false,130,4.3,"{""fast_acting"": true, ""reduces_blemishes"": true}","{""tea_tree_oil"": """", ""benzoyl_peroxide"": """"}","[]","",""
"Velvet Matte Foundation",40.00,"https://example.com/images/makeup_foundation_1.jpg","{""https://example.com/images/makeup_foundation_1_thumb1.jpg""}","Full coverage foundation with a matte finish.","Makeup","Face","MAKE001","active","approved",true,180,4.6,"{""full_coverage"": true, ""matte_finish"": true}","{""dimethicone"": """", ""talc"": """"}","[{""name"": ""Ivory"", ""code"": ""#FFF8DC""},{""name"": ""Beige"", ""code"": ""#F5F5DC""},{""name"": ""Tan"", ""code"": ""#D2B48C""}]","",""
"Luminous Glow Highlighter",30.00,"https://example.com/images/makeup_highlighter_1.jpg","{""https://example.com/images/makeup_highlighter_1_thumb1.jpg""}","Powder highlighter for a radiant glow.","Makeup","Face","MAKE002","active","approved",false,150,4.8,"{""radiant_glow"": true, ""buildable"": true}","{""mica"": """", ""silica"": """"}","[{""name"": ""Champagne Pop"", ""code"": ""#F7E7CE""},{""name"": ""Rose Gold"", ""code"": ""#B76E79""}]","",""
"Precision Liquid Eyeliner",25.00,"https://example.com/images/makeup_eyeliner_1.jpg","{""https://example.com/images/makeup_eyeliner_1_thumb1.jpg""}","Waterproof liquid eyeliner with a fine tip.","Makeup","Eyes","MAKE003","active","approved",true,200,4.7,"{""waterproof"": true, ""precision_tip"": true}","{""carbon_black"": """", ""aqua"": """"}","[{""name"": ""Jet Black"", ""code"": ""#000000""},{""name"": ""Dark Brown"", ""code"": ""#654321""}]","",""
"Volumizing Mascara",28.00,"https://example.com/images/makeup_mascara_1.jpg","{""https://example.com/images/makeup_mascara_1_thumb1.jpg""}","Adds volume and length to lashes without clumping.","Makeup","Eyes","MAKE004","active","approved",false,220,4.5,"{""volumizing"": true, ""lengthening"": true, ""clump_free"": true}","{""beeswax"": """", ""iron_oxides"": """"}","[{""name"": ""Blackest Black"", ""code"": ""#000000""}]","",""
"Nude Eyeshadow Palette",50.00,"https://example.com/images/makeup_eyeshadow_1.jpg","{""https://example.com/images/makeup_eyeshadow_1_thumb1.jpg""}","Palette with 12 versatile nude shades.","Makeup","Eyes","MAKE005","active","approved",true,160,4.9,"{""versatile_shades"": true, ""highly_pigmented"": true}","{""talc"": """", ""mica"": """", ""magnesium_stearate"": """"}","[{""name"": ""Warm Nude"", ""code"": ""#D8BFD8""},{""name"": ""Cool Nude"", ""code"": ""#E6E6FA""}]","","Neutral Tones"
